
Angela	
You come across Angela who is limping. She says it's nothing. What should we do?	
I think i'll get injured too if you're on the field.Please sit on the bench	
Trust me and your teammates.Sit this one out.	-1
Don't push yourself too hard.Get off the field if you don't think you can continue.	3
Angela	
The game ended as a tie, but it seems that the competition between Angela and her opponent isn't over yet.	
You better win that fight!	3
Hey! The match is over!	
I've never seen her worked up that much.	
Angela	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
Well, you did get ''dirty'' by falling in the dirt.	-1
We didn't play dirty, right?	1
They will never learn with an attitude like that.	3
Angela	
You're watching the storm with Angela and you spot Princess Meiran taking a walk while humming.	
Is something troubling her? I'm having a bad feeling.	
What's wrong with her?	3
She shines even in the darkest storms! How gorgeous!	
Angela	
Angela is questioning your promise to make the best team ever. It's time to redeem yourself.	
Don't be all negative because there were some mistakes. You're a precious part of this team.	
Don't be anxious. Have faith and keep following me.	
That's why I need your help.	3
Angela	
Angela seems to be lost. She says she no longer hates the rival team.	
I don't see a problem with it as long as it doesn't affect your performance on the field.	-1
I guess that's natural. The matches against them were great.	1
Is there someone on that team that you like? Go propose!	3
Angela	
A player on the other team says soccer became enjoyable after confronting Angela. What should you say?	
Well, Angela does have that kind of charm.	3
Well, you're as cute as Angela.	1
I hope you two become good rivals.	-1
Angela	
It's a hard match and your team is losing. Talk with Angela and talk about what to do.	
We can't give up here. There's still a chance to win this.	-1
I hope they have a "Continue" button around here.	3
Let's come up with a plan after this match is over.	
Angela	
The team is having a good run and Angela is sure that winning the League is a matter of time.	
Let's keep this momentum going!	1
As long as we're not used as training material...	3
There's still a lot of obstacles ahead.	-1
Angela	
The team will be cleaning up the lodging. What will you have Angela do?	
Give her instructions so that she can do her share of the cleaning quickly.	-1
Let her take some of the team members and allow them to clean freely.	3
Let her clean, but warn her not to cause any trouble.	
Angela	
During a match, Angela bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Wasn't that a glitch?	3
We have to keep on going.	
It's something happened during the match. Don"t be so hard on yourself.	
Angela	
Latios is chatting with Angela after the match. Let's barge in.	
Don't you think about sneaking her out. She's our pretty girl.	-1
Angela was fantastic on the field, right?	1
I'm looking forward to our next match!	3
Angela	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Angela.	
I think he felt better of the positive energy you always have around you.	1
Maybe he got embarrassed for being obsessed with his past?	3
You saved us all from that awkward moment by tripping on you own foot.	-1
Angela	
Angela seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
They say the fortune telling is inaccurate if you don't pay a sufficient price.	3
It's just a myth. Forget about it.	-1
Game results aren't that simple to be predicted by fortune-telling.	-1
Angela	
Angela came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Let's work up a solution.	1
I'm disappointed, too. Let's start over.	1
Just please go with that boring strategy.	3
Angela	
Angela is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
It's the consequences of your actions. Accept it.	-1
I feel sorry for you and envy you at the same time.	3
Use this as a chance to enhance your condition.	
Angela	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Angela is starting to get intimidated.	
Okay, it's time we take this match seriously.	-1
He's obviously obsessed with soccer.	3
This is good. We can use this as a chance to break their backline. 	1
