Personality 1	1	3		1		3	3		1		3	-1	1	1	3	3				3		1		3			-1	1	3	-1	1		3	3	1	-1		3		-1		3	3				3		1	-1	3	3		1					1	3
Personality 2	1	-1	3	3	1	-1	-1	3	1	1		3	3	1	-1	1	3	-1	1	-1	3	3		-1		3	1	1	-1	3	3	1		1	3		1	-1	3	3		-1	-1	3	1		-1	3	3	1	-1	1	3	1	-1 (5 votes)1 (1 votes)	-1	3	3	1	-1
Personality 3					3			1		3	1	-1				-1	1	3	3			1	3	-1		-1	3	3	-1	1							3			-1	3	-1			3	3				3								1		
Personality 4	1	3	-1	-1	1	3			3	1	3		-1	1	3	-1 (1 votes)3 (1 votes)	-1	1	1	3		-1	1	3	3	-1	-1	-1	3				3	3		1	-1	3	-1	-1	-1	3	3		1	1	3	-1		1	3	3	-1		1	3	-1	-1	1	3
Personality 6	3			1	3	1	-1	-1	3	3		-1	1	3	-1	1	-1	3	3		-1	-1	3				3	3	-1		-1	3	1	1	-1	3	3	1	-1	-1	3	-1			3	3	-1	1		3		1		3	3	1			3	-1
Personality 7	1	3	-1			3	3	1		-1	3	1	-1	1	3	3	1	-1		3	1		-1		3			-1	3	1			3	3	1			3	1	1	-1	3				-1	3	1	-1	1	3	3	1	-1		3		1		
Personality 8	-1	1	3	3	-1	1	1	3		-1	1	3	3	1	-1	1	3	-1	-1	1	3	3	-1	1	1	3		-1	-1	3	3	-1	1	-1 (2 votes)3 (1 votes)	3			-1	3	3	1	1	1	3	-1			1 (1 votes)3 (7 votes)	3	1	-1	1	3	-1	-1	1	3	3	1	1
Personality 9	3	1	-1	-1	3	1	-1	1	3	3		-1	-1	3	1	-1	1	3	3	1	-1	-1	3	1	-1		3				1	3	1	1	1	3	3	1	-1	-1	3	1	-1	-1	3	3		-1	-1	3	1	1	-1	3	3	1	-1	-1	3	1
Personality 10	-1	3	1	-1	-1	3	3	-1	-1	-1	3	1	1	-1	3	3	1	-1	-1	3	-1	-1	-1	3	3	1	-1	-1	3	-1	1	-1	3	3	-1 (8 votes)1 (1 votes)	-1	-1	3	-1	-1	1	3	3	1	-1	-1 (7 votes)1 (1 votes)	3	-1	-1	1	3	3	-1	-1 (2 votes)1 (1 votes)	-1	3	-1	-1	-1	3
Personality 11	1	-1	3	3			-1	3	1		1	3	3	1	-1	-1	3	1	1 (3 votes)3 (1 votes)	-1	3	3	-1	1	1	3	-1	1	-1	3	3	1	1	-1	3	-1	-1	1	3	3	1	1	1	3	-1	1	-1	3	3	1	1	-1	3	1	-1	1	3	3	1	-1
Personality 12	3	-1	1	1	3	-1	-1 (1 votes)1 (1 votes)	1	3	3	-1	-1	-1	-1 (1 votes)3 (5 votes)	-1	-1	1	3	3	-1	1	1	3	-1	-1	-1	3	3	-1	1	-1	3	-1	-1	1	3	3	-1	1	1	3	-1	1	-1	3	3	-1	-1	1	3	1		1	3	3	-1	1	1	3	-1
Personality 13	-1	3	-1	-1	-1	3	3	1	-1	-1 (3 votes)3 (1 votes)	3	1	1 (8 votes)3 (1 votes)	1	3	3	1	-1	1	3	1	1	-1	3	3	1	-1	-1 (4 votes)1 (1 votes)	-1 (1 votes)3 (10 votes)	1	1	-1 (7 votes)1 (1 votes)	3	3	-1	-1	-1	3	1	1	-1	3	3		-1 (1 votes)1 (4 votes)	1	3	-1	1	-1	3	1 (1 votes)3 (11 votes)	1	-1	-1	3		1	-1	3
Personality 14	-1	-1	3	3	-1	1		3	-1	-1	1	3	3	1	1	1	3			1	3	3			-1	3		-1	-1	3	3	-1	1	1	3	-1	-1	1	3	3				3	-1	-1	3	3	3		-1	1	3	-1	-1	1	3	3		1
Personality 15			1		3	1	1		3		-1			3	1								3					3											1														-1							
Personality 16		3	1		-1	3	3	1		1	3		-1	1	3	3	-1	1		3	1			3	3	1	-1	-1	3		1	-1	3	3	1	-1		3	-1	-1		3		1			3	1		-1	-1 (1 votes)3 (2 votes)	3	1	1	1	3	-1			3
Personality 17	-1	-1	3	3	-1	1	1	3	-1	-1	1	3	3	1	1	-1	3	1	-1	1	3	3	1	-1	-1	3	-1	1	-1	3	3	1	-1	-1	3	-1	1	-1	3	3	-1	-1	-1	3	1		1	3	3	1	-1 (1 votes)1 (1 votes)	-1	3	1	1	-1	3	3	1	-1
Personality 18										3														1													3			-1												1								
Personality 19								1		-1		-1		1						3	1															-1						3	3	1																
Personality 20	-1	-1	3	3	-1	-1	-1	3	-1	1	-1	3	3	-1	-1	1	3	-1	-1	1	3	3	-1	-1	1	3	-1	-1	-1	3	3	-1	-1 (6 votes)3 (1 votes)	1	3	1	-1	1	3	3	-1	1	-1	3	1	-1	-1	3	3	-1	1	-1	3	1	-1	1	3	3	-1	1
Personality 21	3	-1	1	-1	3	1	1	1	3	3	1	-1	1	3	-1 (1 votes)1 (3 votes)	1	-1	3	3	-1 (1 votes)1 (3 votes)	1	-1 (5 votes)1 (1 votes)	3	1	1	-1	3	3	1	-1	-1	3	1	-1	1	3	3	1	-1	-1	3	1	1	-1	3	3	1	-1	1	3	1	-1	1	3	3	1	-1	1	3	1
Personality 22	1	3				3	3		1	1	3	-1	-1	1	3	3	-1	-1	1	3	-1	1	-1	3	3	1	-1	-1	3	1	-1	1	3	3	-1	1	-1	3	-1	1	-1	3	3			-1	1 (1 votes)3 (3 votes)	1	-1		3	3	1			3		-1	-1	3
Personality 23	1	-1	3	3	1	-1	-1	3	1	-1	1	3	3	-1 (1 votes)1 (6 votes)	1	-1	1 (1 votes)3 (2 votes)	1 (3 votes)3 (1 votes)	1	-1	3	3		1 (5 votes)3 (1 votes)	1	3	-1	1	1	3	3	1	1	-1	3	-1	-1	1	3	3	-1	1	-1	3	1	1	-1	3	3	-1	1 (4 votes)3 (1 votes)	-1	3	1	1	1	3	3	-1 (6 votes)3 (1 votes)	-1
Personality 24	3	-1	1	-1	3	1	-1	1	3	3			1	3		-1	1	3	3	1		-1	3	1	-1	1	3	3	-1			3	-1	-1	1	3	3	-1			3	1	-1	-1	3	3	1	1	-1	3	-1	1	-1	3	3	1		-1	3	-1
Personality 25	1	3	-1	-1	1	3	3	-1	-1	-1	3	-1 (1 votes)1 (6 votes)	-1	-1	3	3	-1	-1	1	3	-1	1	-1	3	3	-1	-1	-1	3	-1	-1	-1	3	3	-1	-1	-1	3	-1	1	-1	3	3	-1	-1	-1	3	-1	1	-1	3	3	1	-1	-1	3	1	-1	-1	3
Personality 26	-1	-1	3	3	1	-1	1	3	1		1	3	3		-1	-1	3		1	-1	3	3	-1	1	1	3	-1	1	-1	3	3	-1	1	1	3	1	-1	1	3	3	-1	1	-1	3	1	-1	-1	3	3	-1	1	-1	3	-1	1	-1	3	3	-1	1 (4 votes)3 (1 votes)
Personality 27		1		-1	3	1			3	3				3		-1	-1			1	-1							3						-1		3	3	1	-1	-1						3		-1		3	-1		-1						3	
Personality 28	-1	3		-1		3	3	-1	-1		3	1	-1	-1	3	3				3			-1	3	3	-1			3	-1			3	3		-1	-1	3	1			3	3	1		1	3	1		1	3	3				3		-1	-1	3
Personality 29	1	-1	3	3	1			3		-1	-1	3	3	1	-1	-1	3	-1			3	3								3	3	-1	-1	1	3	1	-1		3	3		1	-1	3				3	3		-1	1	3			-1		3	-1	
Personality 30	3	-1		-1	3	1	-1	1	3	3	1	1	1	3	-1	1	1	3	3	1	1		3	-1	1	1	3	3	1	1	-1	3	1	-1	1	3	3	1		1	3	1	-1	1	3	3	-1		1	3	1	-1	-1	3	3	-1	-1	1	3	
Personality 31	-1	3		1	-1	3	3	1	-1		3			3		3					3	1	-1	3	3	1	-1		3			-1	3	3	1			3		1	-1	3	3	1	1	-1	3	-1		-1	3	3	-1			3	-1			3
Personality 32			3				1				1	3							3			3	-1			3						-1	-1		3			-1	3	3	-1			3	1	-1	-1	3					3	-1		-1	3	3	-1	
Personality 33											1					1																		1												3								3						
Personality 34	-1 (1 votes)1 (5 votes)	3	-1	-1	-1	3	3	-1	1	-1	3		1	1	3	1 (1 votes)3 (5 votes)	-1	1	1	3	-1	-1	-1	3	3	-1	1	1	3	-1	-1	1	3	3	-1	1	-1	3	-1	-1	-1 (1 votes)1 (4 votes)	3	3	1	1	1	3	-1	-1	-1	3	3	-1	1	1	3	-1	-1	1	3
Personality 36	3		-1	1	3	1	-1	1	3	3	1		1	3	1	1	-1	3	3	-1	1	1	3	-1	-1	-1	3	3	-1	-1	1	3	-1	-1	-1	3	3	1	-1		3	1	1		3	3	-1	1	1	3	1	1	1	-1	3	-1	-1	-1	3	-1
Personality 37	-1	3	-1	-1	-1	3	3	1	1	-1	3	-1	-1	1	3	3	-1	1	1	3	-1	-1	1	3	3	-1	-1	-1	3	1	-1	-1	3	3	-1	1		3			1	3	3	1	-1	-1	3	-1	1	-1	3	3	-1	-1	-1	3	1	1	-1	3
Personality 38	1	-1	3	3	1	-1		3	-1	1	-1	3	3	-1		-1	3		1	-1	3	3	1	1	-1	3	1	-1	-1	3	3	-1	-1		3	1	1	-1	3	3	1	-1		3	1 (2 votes)3 (1 votes)	1	-1	3	3	1	-1	-1	3	1	1	-1	3	3	1	-1
Personality 39	1 (1 votes)3 (9 votes)	-1	1	1	3	1	-1	1	3	3	-1	1	1	3	-1	-1	1	3	3	-1	1	1	3	3	-1	-1	3	3	-1	-1	1	3	-1	-1	1	3	3	1	-1	1	1 (1 votes)3 (10 votes)	-1	1	1	3	3	-1 (4 votes)1 (1 votes)	1	1	3	-1 (5 votes)1 (1 votes)		1	3	3	-1	1	1	3	-1
